sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_charge_degree,c_charge_desc,decile_score,two_year_recid,days_in_jail,sex_Female,sex_Male,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Native American,race_Other,c_charge_degree_F,c_charge_degree_M,age_cat_encoded
Male,28,25 - 45,African-American,0,0,0,4,747.0,F,arrest case no charge,8,0,52,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,49,Greater than 45,Caucasian,0,0,0,7,-1.0,F,Possession of Cocaine,6,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
Male,28,25 - 45,Caucasian,0,0,0,0,-1.0,F,Manufacture Cannabis,3,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,52,Greater than 45,African-American,0,0,0,0,-1.0,F,Possession of Cocaine,7,1,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Male,31,25 - 45,African-American,0,0,0,2,-0.8,F,arrest case no charge,3,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Female,30,25 - 45,African-American,0,0,0,1,-1.0,F,arrest case no charge,2,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,27,25 - 45,Caucasian,0,0,0,0,0.0,F,Grand Theft in the 3rd Degree,4,0,8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,40,25 - 45,Caucasian,0,0,0,2,-1.0,M,arrest case no charge,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,47,Greater than 45,African-American,0,0,0,7,-1.0,F,Agg Battery Grt/Bod/Harm,1,1,57,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Male,22,Less than 25,African-American,0,0,0,1,-1.0,F,Possession Burglary Tools,8,0,36,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Male,36,25 - 45,African-American,0,0,0,5,-1.0,F,Possession of Cocaine,4,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,29,25 - 45,Hispanic,0,0,0,1,-1.0,F,Grand Theft in the 3rd Degree,4,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Male,34,25 - 45,Caucasian,0,0,0,0,-1.0,M,Battery,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,42,25 - 45,African-American,0,0,0,4,0.0,M,Driving License Suspended,1,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,23,Less than 25,Hispanic,0,0,0,0,-1.0,M,Leaving Acc/Unattended Veh,7,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Male,29,25 - 45,Caucasian,4,1,0,10,-1.0,F,Burglary Conveyance Unoccup,9,1,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,49,Greater than 45,Hispanic,0,0,0,2,-40.0,M,Petit Theft,1,0,40,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
Male,45,Greater than 45,African-American,0,0,0,6,0.0,F,Possession Of Alprazolam,4,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Male,30,25 - 45,Caucasian,0,0,0,1,-1.0,F,Burglary Unoccupied Dwelling,5,0,28,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,22,Less than 25,African-American,0,1,3,2,-1.0,F,Driving While License Revoked,6,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Male,26,25 - 45,African-American,0,0,0,0,-1.0,M,Battery,2,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,52,Greater than 45,African-American,0,0,0,0,-1.0,F,Neglect Child / Bodily Harm,4,1,26,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Male,27,25 - 45,African-American,0,0,0,5,-1.0,F,Aggrav Battery w/Deadly Weapon,9,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,39,25 - 45,Caucasian,0,1,0,3,317.0,M,Battery,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Female,23,Less than 25,African-American,0,0,0,2,16.0,F,Battery on Law Enforc Officer,10,1,116,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Male,28,25 - 45,African-American,0,0,1,2,-1.0,F,Att Tamper w/Physical Evidence,4,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,46,Greater than 45,Other,0,0,0,2,-1.0,F,Possession Of Diazepam,3,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
Male,42,25 - 45,Caucasian,0,0,0,2,-1.0,F,Deliver Cannabis,7,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,42,25 - 45,Other,0,0,0,1,-13.0,M,DUI Level 0.15 Or Minor In Veh,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Male,35,25 - 45,Caucasian,0,0,2,3,0.0,F,Possession of Cocaine,4,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,66,Greater than 45,African-American,0,0,0,5,-40.0,M,Battery,2,1,25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Male,22,Less than 25,African-American,0,0,0,1,-1.0,F,arrest case no charge,5,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Female,32,25 - 45,African-American,0,0,0,5,0.0,F,Aggrav Battery w/Deadly Weapon,1,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,36,25 - 45,Hispanic,0,0,0,1,-14.0,M,Extradition/Defendants,9,0,14,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Male,51,Greater than 45,African-American,0,0,0,0,-1.0,F,Criminal Mischief,1,1,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Male,20,Less than 25,African-American,0,0,0,0,-1.0,F,Burglary Dwelling Occupied,6,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Female,34,25 - 45,Caucasian,0,0,0,4,-1.0,M,Battery,4,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,24,Less than 25,African-American,0,0,0,2,-1.0,M,Battery,5,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Female,47,Greater than 45,African-American,0,1,1,21,-1.0,M,Battery,9,1,21,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Male,49,Greater than 45,African-American,0,0,0,3,0.0,F,Grand Theft (Motor Vehicle),5,0,3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
Male,22,Less than 25,African-American,0,0,0,4,-12.0,M,Driving License Suspended,6,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Female,26,25 - 45,African-American,0,0,0,3,-27.0,F,Burglary With Assault/battery,5,0,27,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,26,25 - 45,African-American,0,0,0,13,0.0,M,Battery,10,1,7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Female,43,25 - 45,Caucasian,0,0,0,0,0.0,M,Grand Theft (Motor Vehicle),2,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,22,Less than 25,African-American,0,0,0,0,-5.0,F,Dealing in Stolen Property,4,1,5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Male,33,25 - 45,Caucasian,0,0,0,2,-1.0,F,Possession of Cocaine,3,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,27,25 - 45,African-American,0,0,0,0,0.0,M,Battery,2,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,54,Greater than 45,Hispanic,0,0,0,0,-1.0,F,Agg Battery Grt/Bod/Harm,1,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
Male,24,Less than 25,Hispanic,0,0,0,0,-1.0,F,Lewd/Lasc Battery Pers 12+/<16,5,0,32,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Female,23,Less than 25,Caucasian,0,0,0,0,-0.8,M,arrest case no charge,6,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Male,36,25 - 45,African-American,0,1,0,4,-1.0,M,Battery,5,0,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Male,55,Greater than 45,African-American,0,0,0,3,-51.0,M,Battery,1,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Male,27,25 - 45,Caucasian,0,0,0,1,-1.0,F,arrest case no charge,9,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Male,26,25 - 45,Caucasian,0,0,0,4,-1.0,F,"Deliver 3,4 Methylenediox",7,1,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
