,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,two_year_recid,decile_score,sex_Male,age_cat_Greater than 45,age_cat_Less than 25,c_charge_degree_M,race_Asian,race_Caucasian,race_Hispanic,race_Native American,race_Other
65,29,0,0,0,4,-1.0,1,9,True,False,False,False,False,False,False,False,False
66,62,0,0,0,0,0.0,0,1,True,True,False,True,False,False,True,False,False
67,27,0,1,0,6,0.0,1,6,True,False,False,False,False,False,False,False,False
68,33,0,0,0,0,-1.0,0,1,True,False,False,True,False,False,False,False,True
69,56,0,0,0,0,0.0,0,1,False,True,False,True,False,False,False,False,False
70,45,0,0,0,6,-1.0,1,1,True,True,False,False,False,False,True,False,False
71,22,0,0,0,1,-1.0,0,4,True,False,True,False,False,False,True,False,False
72,39,0,0,0,1,-1.0,0,4,True,False,False,True,False,False,False,False,False
73,29,0,0,0,5,0.0,1,6,True,False,False,False,False,False,False,False,False
74,27,0,0,1,1,-1.0,1,6,True,False,False,False,False,True,False,False,False
75,40,0,0,0,2,-15.0,0,2,True,False,False,False,False,False,False,False,False
76,22,0,0,0,1,0.0,1,3,True,False,True,True,False,False,False,False,False
77,22,0,0,0,0,-1.0,0,8,True,False,True,False,False,True,False,False,False
78,26,0,0,0,1,-1.0,1,4,False,False,False,False,False,False,False,False,False
79,27,0,0,0,1,-43.0,1,7,True,False,False,False,False,True,False,False,False
80,32,0,0,0,0,-1.0,0,2,True,False,False,False,False,False,False,False,False
81,41,0,0,0,1,-1.0,0,2,True,False,False,True,False,False,False,False,False
82,30,0,0,0,8,-1.0,1,10,True,False,False,True,False,False,False,False,False
83,50,0,0,0,0,-1.0,1,1,True,True,False,False,False,False,False,False,True
84,25,1,6,1,14,-1.0,1,10,True,False,False,False,False,False,False,False,False
85,20,0,0,0,0,-1.0,1,5,True,False,True,False,False,False,False,False,True
86,22,1,0,0,2,0.0,1,9,True,False,True,False,False,False,False,False,False
87,23,0,0,1,2,137.0,1,7,True,False,True,True,False,False,False,False,False
88,35,0,0,0,1,-1.0,0,2,False,False,False,True,False,False,False,False,False
89,36,0,0,0,9,0.0,1,7,True,False,False,False,False,False,False,False,False
90,26,0,0,0,7,0.0,1,8,True,False,False,False,False,True,False,False,False
91,21,0,0,0,1,0.0,1,6,True,False,True,False,False,False,False,False,True
92,25,0,0,0,9,-1.0,1,8,True,False,False,False,False,True,False,False,False
93,71,0,0,0,12,,0,7,True,True,False,True,False,False,False,False,False
94,20,0,0,0,0,-1.0,0,7,False,False,True,False,False,True,False,False,False
95,39,0,0,0,2,-2.0,1,1,True,False,False,False,False,True,False,False,False
96,66,0,0,0,3,-64.0,0,1,True,True,False,False,False,True,False,False,False
97,54,0,0,0,0,0.0,0,1,False,True,False,True,False,True,False,False,False
98,44,0,0,0,0,-2.0,0,1,False,False,False,True,False,False,True,False,False
99,19,0,0,0,1,-10.0,1,4,True,False,True,True,False,False,False,False,False
100,24,0,0,0,1,-137.0,0,2,True,False,True,False,False,False,False,False,False
101,30,0,0,0,1,-1.0,0,2,True,False,False,False,False,False,False,False,False
102,39,0,0,0,0,-1.0,1,1,False,False,False,False,False,True,False,False,False
103,24,0,1,2,8,-1.0,1,6,True,False,True,False,False,True,False,False,False
104,30,0,0,0,0,-1.0,0,4,True,False,False,False,False,True,False,False,False
105,31,0,0,0,0,-1.0,0,5,True,False,False,True,False,True,False,False,False
106,39,0,0,0,1,-1.0,0,4,False,False,False,False,False,True,False,False,False
107,59,0,0,0,14,178.0,1,9,True,True,False,False,False,False,False,False,False
108,43,0,0,0,1,-30.0,0,1,True,False,False,False,False,True,False,False,False
109,21,0,0,0,3,-1.0,1,9,True,False,True,False,False,False,False,False,False
110,38,0,0,0,5,-1.0,1,4,True,False,False,True,False,True,False,False,False
111,34,0,0,0,0,0.0,0,5,True,False,False,False,False,True,False,False,False
112,33,0,0,0,5,0.0,1,5,True,False,False,False,False,False,False,False,False
113,37,0,0,0,3,0.0,0,2,True,False,False,False,False,False,False,False,False
114,42,0,0,0,1,0.0,1,2,True,False,False,False,False,True,False,False,False
115,41,0,1,0,10,0.0,1,9,True,False,False,False,False,False,False,False,False
116,22,0,0,0,0,-1.0,1,4,True,False,True,False,False,False,False,False,False
117,33,0,12,2,28,-1.0,1,8,True,False,False,False,False,False,False,False,False
118,31,0,0,0,1,-1.0,0,7,True,False,False,True,False,False,False,False,False
119,30,0,0,0,1,-1.0,0,2,False,False,False,False,False,False,False,False,True
120,31,0,0,0,13,-1.0,1,10,True,False,False,False,False,True,False,False,False
121,27,0,0,0,3,-1.0,1,9,True,False,False,False,False,False,False,False,False
122,56,0,0,0,8,67.0,0,9,True,True,False,False,False,False,False,False,False
123,52,0,0,0,3,-2.0,0,9,True,True,False,True,False,True,False,False,False
124,33,0,0,0,19,-1.0,1,10,True,False,False,False,False,False,False,False,False
125,64,0,0,0,2,-47.0,0,1,False,True,False,True,False,True,False,False,False
126,22,0,0,0,4,-36.0,1,6,True,False,True,False,False,True,False,False,False
127,42,0,0,0,6,-4.0,0,3,True,False,False,False,False,True,False,False,False
128,25,0,0,0,2,-1.0,0,4,False,False,False,False,False,True,False,False,False
129,30,0,0,0,1,-20.0,0,2,True,False,False,True,False,True,False,False,False
130,28,0,0,0,2,,0,1,True,False,False,False,False,True,False,False,False
131,37,0,0,0,2,-1.0,0,2,False,False,False,True,False,False,False,False,True
132,28,0,0,0,0,-1.0,1,2,True,False,False,True,False,True,False,False,False
133,24,0,0,0,0,-1.0,0,2,False,False,True,True,False,False,False,False,False
134,29,0,1,0,10,-1.0,1,4,False,False,False,False,False,True,False,False,False
135,44,0,0,0,2,0.0,1,2,True,False,False,True,False,True,False,False,False
136,30,0,0,0,4,-35.0,1,5,False,False,False,False,False,False,True,False,False
137,32,0,0,0,3,-1.0,1,7,True,False,False,False,False,False,False,False,False
138,31,0,0,0,2,-16.0,1,3,True,False,False,True,False,True,False,False,False
139,31,0,0,0,1,-1.0,0,2,True,False,False,True,False,False,False,False,False
140,59,0,0,0,1,-1.0,1,2,True,True,False,False,False,True,False,False,False
141,45,0,0,0,4,,0,4,False,True,False,False,False,True,False,False,False
142,20,1,0,0,1,0.0,0,10,False,False,True,False,False,False,False,False,False
143,43,0,0,0,0,0.0,0,1,False,False,False,True,False,True,False,False,False
144,38,1,1,0,9,-1.0,1,8,True,False,False,False,False,False,False,False,False
145,32,0,0,0,11,-2.0,1,6,True,False,False,False,False,False,False,False,False
146,33,0,0,0,8,-1.0,1,5,True,False,False,True,False,False,False,False,False
147,31,0,0,0,0,-1.0,1,3,False,False,False,False,False,False,False,False,False
148,33,0,0,0,7,-1.0,1,9,False,False,False,False,False,False,False,False,False
149,27,0,0,0,2,-1.0,1,9,True,False,False,False,False,False,False,False,False
150,20,0,0,0,0,0.0,0,6,False,False,True,False,False,False,False,False,False
151,26,0,0,0,0,-2.0,0,6,False,False,False,True,False,True,False,False,False
152,61,0,0,0,1,-1.0,1,1,False,True,False,False,False,False,False,False,False
153,52,0,0,0,13,-1.0,1,7,True,True,False,False,False,False,False,False,True
154,63,0,0,0,1,-26.0,0,1,True,True,False,False,False,False,True,False,False
155,32,0,0,0,4,-7.0,1,10,False,False,False,False,False,False,False,False,False
156,29,0,0,0,1,-1.0,0,4,True,False,False,False,False,False,True,False,False
157,46,0,0,0,1,,0,2,False,True,False,False,False,False,False,False,True
158,26,0,0,0,2,-1.0,1,4,False,False,False,True,False,False,False,False,False
159,55,0,0,0,3,-51.0,0,1,True,True,False,True,False,False,False,False,False
160,39,1,0,0,1,-1.0,0,4,True,False,False,True,False,True,False,False,False
161,30,0,0,0,3,0.0,1,7,False,False,False,False,False,True,False,False,False
162,30,0,0,0,1,0.0,0,7,True,False,False,False,False,False,False,False,False
163,48,0,0,0,2,-1.0,0,2,True,True,False,True,False,True,False,False,False
164,22,0,0,0,1,-1.0,0,2,True,False,True,False,False,False,False,False,False
165,46,0,0,0,6,22.0,1,1,True,True,False,False,False,True,False,False,False
166,49,0,0,0,6,-56.0,0,6,False,True,False,False,False,True,False,False,False
167,31,0,0,0,0,0.0,0,5,True,False,False,False,False,True,False,False,False
168,25,0,0,0,1,-1.0,1,2,True,False,False,True,False,False,False,False,False
169,23,0,0,0,0,-1.0,0,3,True,False,True,False,False,False,True,False,False
170,32,0,0,0,5,-1.0,0,7,False,False,False,False,False,False,False,False,False
171,52,0,0,0,2,-1.0,0,1,True,True,False,True,False,False,True,False,False
172,62,0,0,0,8,0.0,0,4,True,True,False,False,False,False,False,False,False
173,37,0,0,0,6,-110.0,0,10,False,False,False,False,False,True,False,False,False
174,55,0,0,0,1,-45.0,0,1,True,True,False,False,False,True,False,False,False
175,31,0,0,0,8,29.0,1,9,True,False,False,False,False,False,True,False,False
176,28,0,0,0,6,-1.0,1,6,True,False,False,True,False,False,False,False,False
177,54,0,0,0,2,-1.0,0,1,True,True,False,False,False,False,True,False,False
178,58,0,0,0,0,-1.0,0,2,True,True,False,False,False,False,True,False,False
179,78,0,0,0,1,-1.0,1,1,True,True,False,True,False,True,False,False,False
180,56,0,0,0,0,-1.0,0,1,True,True,False,False,False,True,False,False,False
181,24,0,0,0,0,-1.0,0,2,True,False,True,False,False,False,False,False,True
182,38,2,2,1,22,-34.0,1,8,True,False,False,False,False,False,False,False,False
183,22,0,0,0,1,0.0,1,5,True,False,True,False,False,False,False,False,False
184,47,0,0,0,23,-1.0,1,8,True,True,False,True,False,False,False,False,False
185,23,0,0,0,0,-1.0,1,2,True,False,True,True,False,False,False,False,False
186,57,0,0,0,1,0.0,0,1,True,True,False,False,False,False,True,False,False
187,38,0,0,0,2,-35.0,1,5,False,False,False,False,False,True,False,False,False
188,66,0,0,0,3,-10.0,0,1,True,True,False,False,False,False,False,False,False
189,45,0,0,0,8,0.0,1,4,True,True,False,True,False,True,False,False,False
190,52,0,0,0,0,,1,3,False,True,False,True,False,False,False,False,True
191,32,0,0,0,13,289.0,1,10,True,False,False,False,False,False,False,False,False
192,37,0,0,0,2,0.0,1,9,True,False,False,True,False,False,False,False,False
193,39,0,0,0,0,0.0,1,4,True,False,False,False,False,True,False,False,False
194,26,0,0,0,9,0.0,1,9,True,False,False,False,False,False,False,False,False
195,45,0,0,0,2,-1.0,0,3,True,True,False,False,False,True,False,False,False
196,23,0,0,0,0,-1.0,1,3,True,False,True,False,False,False,False,False,False
197,34,0,0,0,2,0.0,0,2,True,False,False,True,False,False,False,False,False
198,23,0,0,0,1,-1.0,0,4,False,False,True,True,False,False,False,False,False
199,36,0,0,0,2,-1.0,1,3,True,False,False,True,False,False,False,False,True
200,50,0,0,0,1,-4.0,0,1,True,True,False,False,False,True,False,False,False
201,37,0,0,0,0,-1.0,0,3,False,False,False,True,False,True,False,False,False
202,44,0,0,0,4,0.0,0,4,True,False,False,True,False,True,False,False,False
203,35,0,1,0,23,-1.0,1,9,False,False,False,False,False,False,False,False,False
204,24,0,0,0,5,-1.0,1,5,True,False,True,False,False,False,False,False,True
205,26,0,0,0,2,-1.0,1,10,True,False,False,False,False,False,False,False,False
206,27,0,0,0,0,-1.0,0,2,True,False,False,True,False,False,False,False,False
207,28,0,0,0,0,0.0,0,8,False,False,False,False,False,False,False,False,False
208,43,0,0,0,11,49.0,1,5,True,False,False,False,False,True,False,False,False
209,28,0,0,0,7,-1.0,1,9,False,False,False,False,False,True,False,False,False
210,38,0,0,0,2,-1.0,0,1,True,False,False,False,False,False,False,False,False
211,27,0,0,0,2,-36.0,0,4,True,False,False,True,False,True,False,False,False
212,28,0,0,0,1,-1.0,0,9,False,False,False,False,False,False,False,False,False
213,56,0,0,0,7,-1.0,1,1,True,True,False,False,False,True,False,False,False
214,38,0,0,0,15,-1.0,0,9,True,False,False,False,False,False,False,False,False
215,28,0,0,0,2,-1.0,0,5,True,False,False,True,False,False,False,False,False
216,45,0,0,0,3,104.0,0,6,True,True,False,False,False,False,False,False,False
217,28,0,0,0,0,,0,2,True,False,False,True,False,False,True,False,False
218,61,0,0,0,1,-34.0,0,1,True,True,False,False,False,True,False,False,False
219,51,0,0,0,0,-1.0,1,1,False,True,False,True,False,True,False,False,False
220,51,0,0,0,0,-1.0,0,2,True,True,False,True,False,True,False,False,False
221,36,0,0,0,1,-1.0,1,1,True,False,False,True,False,False,False,False,True
222,48,0,0,0,0,-1.0,0,1,True,True,False,False,False,False,False,False,False
223,37,0,0,0,4,0.0,1,3,True,False,False,False,False,True,False,False,False
224,30,0,0,0,2,-1.0,0,7,False,False,False,False,False,False,False,False,False
225,41,0,0,0,5,0.0,0,6,False,False,False,True,False,False,False,False,False
226,27,0,0,0,11,-1.0,1,10,True,False,False,False,False,False,False,False,False
227,37,0,0,0,0,-1.0,0,1,True,False,False,True,False,False,False,False,False
228,33,0,0,0,4,0.0,1,4,True,False,False,False,False,False,False,False,True
229,54,0,0,0,11,-1.0,0,9,True,True,False,False,False,False,False,False,False
230,23,0,0,0,2,-1.0,0,9,True,False,True,False,False,False,False,False,False
231,26,0,0,0,2,-227.0,1,4,False,False,False,False,False,False,False,False,False
232,41,0,0,0,0,0.0,0,1,True,False,False,True,False,False,False,False,False
233,52,0,0,0,0,-1.0,0,1,True,True,False,False,False,True,False,False,False
234,43,0,0,0,13,0.0,1,4,True,False,False,False,False,True,False,False,False
235,52,0,0,0,0,-1.0,0,4,True,True,False,False,False,False,False,False,False
236,28,0,0,0,1,-3.0,0,1,True,False,False,False,False,True,False,False,False
237,30,0,0,2,11,-1.0,1,9,True,False,False,True,False,False,False,False,False
238,28,0,0,0,1,0.0,0,5,True,False,False,False,False,True,False,False,False
239,22,0,0,0,0,-1.0,0,4,True,False,True,False,False,False,False,False,False
240,30,0,0,0,4,0.0,0,2,True,False,False,False,False,False,False,False,False
241,25,0,0,0,4,0.0,0,4,True,False,False,False,False,False,True,False,False
242,31,0,0,0,0,-1.0,1,8,True,False,False,False,False,True,False,False,False
243,37,0,0,0,0,-1.0,1,2,True,False,False,False,False,True,False,False,False
244,32,0,1,0,14,-1.0,0,9,True,False,False,False,False,False,False,False,False
245,26,0,1,0,4,649.0,0,8,True,False,False,True,False,False,False,False,False
246,53,0,0,0,1,-1.0,0,1,True,True,False,True,False,True,False,False,False
247,28,0,0,0,25,29.0,1,8,True,False,False,False,False,False,False,False,False
248,44,0,0,0,8,-1.0,1,5,True,False,False,True,False,True,False,False,False
249,25,0,0,0,0,0.0,0,3,True,False,False,False,False,False,False,False,False
250,22,0,0,1,1,0.0,1,8,True,False,True,True,False,True,False,False,False
251,37,0,0,0,0,-1.0,0,1,False,False,False,True,False,False,False,False,True
252,40,0,0,0,3,-1.0,0,2,False,False,False,False,False,False,False,False,True
253,36,0,0,0,8,150.0,1,7,True,False,False,False,False,True,False,False,False
254,30,0,0,0,4,-140.0,0,2,True,False,False,False,False,True,False,False,False
255,22,0,0,0,3,161.0,1,9,True,False,True,True,False,False,False,False,False
256,24,0,0,0,1,-32.0,1,7,False,False,True,True,False,True,False,False,False
257,27,0,0,0,3,-44.0,1,2,True,False,False,True,False,False,False,False,False
258,31,0,0,0,0,-1.0,0,2,False,False,False,True,False,False,True,False,False
259,23,0,0,1,1,-1.0,1,6,True,False,True,False,False,False,True,False,False
260,23,0,0,4,5,-1.0,1,5,False,False,True,False,False,True,False,False,False
261,24,0,0,0,0,-3.0,0,8,True,False,True,True,False,False,True,False,False
262,29,0,0,0,1,-1.0,0,3,True,False,False,True,False,False,False,False,False
263,20,0,0,0,1,-1.0,1,8,True,False,True,False,False,False,False,False,False
264,30,0,0,0,2,-1.0,1,6,True,False,False,False,False,False,False,False,False
265,39,0,0,0,0,-1.0,0,1,True,False,False,False,False,False,False,False,True
266,27,0,0,0,4,-1.0,0,4,True,False,False,False,False,False,False,False,False
267,31,0,0,0,2,812.0,0,4,True,False,False,True,False,True,False,False,False
268,37,0,0,0,2,0.0,0,1,False,False,False,False,False,False,False,False,False
269,20,0,0,0,0,-1.0,0,8,True,False,True,False,False,False,False,False,False
270,22,0,0,1,0,0.0,0,7,True,False,True,False,False,False,True,False,False
271,52,0,0,0,0,-1.0,0,1,False,True,False,False,False,False,False,False,False
272,23,0,0,0,0,-1.0,1,4,False,False,True,False,False,False,False,False,False
273,48,0,0,0,0,-1.0,0,2,False,True,False,False,False,False,False,False,False
274,66,0,0,0,8,,1,6,True,True,False,False,False,False,False,False,False
275,25,0,0,0,0,0.0,0,5,True,False,False,False,False,True,False,False,False
276,27,0,0,0,0,-1.0,1,6,True,False,False,False,False,True,False,False,False
277,30,0,0,0,11,0.0,1,7,True,False,False,False,False,False,False,False,False
278,22,0,1,1,3,-1.0,1,10,True,False,True,True,False,False,False,False,False
279,22,0,0,0,1,-1.0,0,3,False,False,True,False,False,True,False,False,False
280,35,0,0,0,2,,0,10,True,False,False,False,False,False,False,False,False
281,32,0,0,0,2,-232.0,0,4,True,False,False,False,False,True,False,False,False
282,41,0,0,0,2,-1.0,0,3,False,False,False,True,False,False,False,False,False
283,25,0,0,0,0,-1.0,0,2,False,False,False,False,False,False,False,False,True
284,44,0,0,0,24,53.0,0,7,True,False,False,True,False,False,False,False,False
285,52,0,0,0,3,0.0,1,6,True,True,False,False,False,False,False,False,False
286,43,0,0,0,0,-1.0,0,1,True,False,False,False,False,False,False,False,False
287,37,0,0,0,3,-4.0,0,1,True,False,False,False,False,True,False,False,False
288,28,0,0,0,3,299.0,1,4,True,False,False,True,False,False,False,False,False
289,70,0,0,0,1,-13.0,0,1,True,True,False,True,False,True,False,False,False
290,54,0,0,0,6,-266.0,1,2,True,True,False,False,False,True,False,False,False
291,46,0,0,0,3,-1.0,0,4,True,True,False,False,False,True,False,False,False
292,21,0,0,0,0,-1.0,1,9,True,False,True,True,False,False,False,False,False
293,26,0,0,0,1,-1.0,1,8,True,False,False,True,False,False,False,False,False
294,38,0,0,0,3,23.0,1,1,True,False,False,False,False,False,True,False,False
295,34,0,0,0,5,-1.0,0,4,True,False,False,True,False,True,False,False,False
296,19,0,0,0,1,-48.0,1,5,True,False,True,False,False,False,False,False,False
297,34,0,0,0,5,-1.0,0,4,True,False,False,True,False,False,False,False,False
298,23,0,0,0,0,0.0,1,5,True,False,True,False,False,True,False,False,False
299,34,0,0,0,5,-1.0,1,4,True,False,False,False,False,False,False,False,False
300,30,0,0,0,2,-83.0,0,1,True,False,False,False,False,False,False,False,False
301,39,0,0,0,6,-1.0,1,3,True,False,False,False,False,False,False,False,False
302,24,0,0,0,0,-1.0,0,3,True,False,True,False,False,False,False,False,True
303,33,0,0,0,1,-93.0,1,3,True,False,False,True,False,True,False,False,False
304,58,0,0,0,2,-1.0,0,3,True,True,False,False,False,True,False,False,False
305,21,0,0,0,0,0.0,0,6,False,False,True,True,False,False,False,False,False
306,21,0,0,0,1,-36.0,0,5,True,False,True,False,False,False,False,False,False
307,23,0,0,1,4,-11.0,1,8,True,False,True,True,False,False,False,False,False
308,62,0,0,0,0,0.0,0,1,True,True,False,False,False,True,False,False,False
309,27,1,0,1,4,300.0,1,8,True,False,False,True,False,False,False,False,False
310,37,0,0,0,5,-1.0,0,3,True,False,False,False,False,True,False,False,False
311,43,0,0,0,2,-1.0,1,2,True,False,False,False,False,False,False,False,True
312,32,0,0,0,5,0.0,0,1,False,False,False,False,False,False,False,False,False
313,23,0,0,0,0,-1.0,0,3,True,False,True,False,False,False,True,False,False
314,27,0,0,0,0,0.0,0,1,True,False,False,True,False,False,False,False,False
315,44,0,0,0,0,-1.0,1,1,True,False,False,True,False,True,False,False,False
316,28,0,0,0,3,-1.0,1,3,True,False,False,True,False,True,False,False,False
317,42,0,0,0,0,-3.0,0,2,False,False,False,False,False,True,False,False,False
318,24,0,1,0,9,-1.0,1,10,True,False,True,False,False,False,False,False,True
319,27,0,0,0,0,0.0,0,2,True,False,False,False,False,False,False,False,False
320,20,0,0,0,0,-1.0,1,10,True,False,True,False,False,False,False,False,False
321,51,0,0,0,0,0.0,0,1,False,True,False,True,False,True,False,False,False
322,56,0,0,0,0,0.0,0,1,True,True,False,True,False,True,False,False,False
323,29,0,0,0,7,-1.0,0,9,True,False,False,False,False,False,False,False,False
324,20,0,0,0,0,-1.0,1,9,True,False,True,False,False,False,False,False,False
325,53,0,0,0,6,-176.0,0,1,True,True,False,False,False,True,False,False,False
326,27,0,0,0,8,-1.0,0,5,True,False,False,False,False,True,False,False,False
327,24,0,1,0,2,-1.0,1,9,True,False,True,False,False,False,False,False,False
328,53,0,0,0,36,-7.0,1,6,True,True,False,False,False,True,False,False,False
329,28,0,0,0,2,0.0,1,3,True,False,False,True,False,True,False,False,False
330,45,0,0,0,1,,0,1,True,True,False,False,False,False,False,False,False
331,21,0,1,0,3,-22.0,0,5,True,False,True,False,False,False,True,False,False
332,36,0,0,0,0,-1.0,0,7,False,False,False,False,False,False,False,False,False
333,25,0,0,0,2,-2.0,1,4,False,False,False,True,False,True,False,False,False
334,23,0,0,0,1,0.0,0,3,False,False,True,True,False,False,True,False,False
335,28,0,0,0,1,-4.0,0,5,True,False,False,False,False,True,False,False,False
336,21,0,0,0,0,-1.0,1,8,False,False,True,False,False,False,False,False,False
337,36,0,0,0,0,-1.0,0,3,True,False,False,True,False,True,False,False,False
338,24,0,0,0,0,-1.0,0,3,True,False,True,False,False,False,False,False,False
339,28,0,0,0,3,206.0,1,6,True,False,False,False,False,False,False,False,False
340,30,0,0,0,1,-1.0,1,2,True,False,False,False,False,False,False,False,True
341,29,0,0,0,0,-1.0,0,1,True,False,False,False,False,False,False,False,False
342,30,0,0,0,0,0.0,0,6,False,False,False,True,False,True,False,False,False
343,51,0,0,0,1,-1.0,0,1,True,True,False,True,False,False,True,False,False
344,33,0,0,0,3,-94.0,0,1,True,False,False,False,False,False,False,False,True
345,25,0,0,0,2,-86.0,0,6,False,False,False,False,False,False,False,False,False
346,32,0,1,0,12,-1.0,1,9,True,False,False,False,False,False,False,False,False
347,23,0,0,1,1,0.0,0,6,True,False,True,False,False,False,False,False,False
348,47,0,0,0,3,0.0,0,3,True,True,False,False,False,False,False,False,False
349,32,0,0,0,1,-80.0,1,3,False,False,False,False,False,False,True,False,False
350,37,0,0,0,0,-1.0,0,1,True,False,False,False,False,True,False,False,False
351,19,0,2,0,2,-1.0,1,10,True,False,True,False,False,False,False,False,False
352,27,0,0,0,0,-1.0,0,8,True,False,False,True,False,False,True,False,False
353,39,0,0,0,0,-1.0,0,1,True,False,False,True,False,False,False,False,True
354,21,0,0,2,0,0.0,0,6,False,False,True,False,False,True,False,False,False
355,69,0,0,0,0,-1.0,0,1,True,True,False,True,False,True,False,False,False
