age,priors_count,juv_fel_count,juv_misd_count,juv_other_count,days_b_screening_arrest,is_recid,c_charge_desc
29,4,0,0,0,-1.0,1,arrest case no charge
62,0,0,0,0,0.0,0,Unlaw LicTag/Sticker Attach
27,6,0,1,0,0.0,1,Aggravated Battery / Pregnant
33,0,0,0,0,-1.0,0,Battery
56,0,0,0,0,0.0,0,Battery
45,6,0,0,0,-1.0,1,Possession of Cocaine
22,1,0,0,0,-1.0,0,Burglary Structure Unoccup
39,1,0,0,0,-1.0,0,arrest case no charge
29,5,0,0,0,0.0,1,False Name By Person Arrest
27,1,0,0,1,-1.0,1,arrest case no charge
40,2,0,0,0,-15.0,0,arrest case no charge
22,1,0,0,0,0.0,1,Battery
22,0,0,0,0,-1.0,0,Grand Theft in the 3rd Degree
26,1,0,0,0,-1.0,1,Poss Cocaine/Intent To Del/Sel
27,1,0,0,0,-43.0,1,Burglary Dwelling Assault/Batt
32,0,0,0,0,-1.0,0,Felony Battery (Dom Strang)
41,1,0,0,0,-1.0,0,arrest case no charge
30,8,0,0,0,-1.0,1,Possess Cannabis/20 Grams Or Less
50,0,0,0,0,-1.0,1,arrest case no charge
25,14,1,6,1,-1.0,1,arrest case no charge
20,0,0,0,0,-1.0,1,Tampering With Physical Evidence
22,2,1,0,0,0.0,1,Attempted Burg/struct/unocc
23,2,0,0,1,137.0,1,arrest case no charge
35,1,0,0,0,-1.0,0,arrest case no charge
36,9,0,0,0,0.0,1,Deliver Cocaine
26,7,0,0,0,0.0,1,Possession Burglary Tools
21,1,0,0,0,0.0,1,Grand Theft in the 3rd Degree
25,9,0,0,0,-1.0,1,Pos Cannabis W/Intent Sel/Del
71,12,0,0,0,,0,Possess Cannabis/20 Grams Or Less
20,0,0,0,0,-1.0,0,"Poss3,4 Methylenedioxymethcath"
39,2,0,0,0,-2.0,1,Possession Of Alprazolam
66,3,0,0,0,-64.0,0,Flee/Elude LEO-Agg Flee Unsafe
54,0,0,0,0,0.0,0,DUI Level 0.15 Or Minor In Veh
44,0,0,0,0,-2.0,0,Battery
19,1,0,0,0,-10.0,1,Battery
24,1,0,0,0,-137.0,0,arrest case no charge
30,1,0,0,0,-1.0,0,Fail To Redeliv Hire/Leas Prop
39,0,0,0,0,-1.0,1,Aggravated Assault W/Dead Weap
24,8,0,1,2,-1.0,1,False Ownership Info/Pawn Item
30,0,0,0,0,-1.0,0,Possession Of Methamphetamine
31,0,0,0,0,-1.0,0,Battery
39,1,0,0,0,-1.0,0,Possession of Morphine
59,14,0,0,0,178.0,1,arrest case no charge
43,1,0,0,0,-30.0,0,Possession of Cocaine
21,3,0,0,0,-1.0,1,Grand Theft in the 3rd Degree
38,5,0,0,0,-1.0,1,Possess Cannabis/20 Grams Or Less
34,0,0,0,0,0.0,0,Aggravated Assault w/Firearm
33,5,0,0,0,0.0,1,Poss Contr Subst W/o Prescript
37,3,0,0,0,0.0,0,"Poss3,4 Methylenedioxymethcath"
42,1,0,0,0,0.0,1,Aggrav Stalking After Injunctn
41,10,0,1,0,0.0,1,Possession of Cocaine
22,0,0,0,0,-1.0,1,Uttering a Forged Instrument
33,28,0,12,2,-1.0,1,Driving While License Revoked
31,1,0,0,0,-1.0,0,Battery
30,1,0,0,0,-1.0,0,Crim Use of Personal ID Info
31,13,0,0,0,-1.0,1,arrest case no charge
27,3,0,0,0,-1.0,1,Possession of Cocaine
56,8,0,0,0,67.0,0,arrest case no charge
52,3,0,0,0,-2.0,0,Battery
33,19,0,0,0,-1.0,1,arrest case no charge
64,2,0,0,0,-47.0,0,Resist/Obstruct W/O Violence
22,4,0,0,0,-36.0,1,Possession Of Alprazolam
42,6,0,0,0,-4.0,0,Possession Of Alprazolam
25,2,0,0,0,-1.0,0,arrest case no charge
30,1,0,0,0,-20.0,0,Agg Fleeing and Eluding
28,2,0,0,0,,0,arrest case no charge
37,2,0,0,0,-1.0,0,Petit Theft
28,0,0,0,0,-1.0,1,Disorderly Intoxication
24,0,0,0,0,-1.0,0,Battery
29,10,0,1,0,-1.0,1,Grand Theft in the 3rd Degree
44,2,0,0,0,0.0,1,Battery
30,4,0,0,0,-35.0,1,Battery on Law Enforc Officer
32,3,0,0,0,-1.0,1,Possession of Cocaine
31,2,0,0,0,-16.0,1,Resist/Obstruct W/O Violence
31,1,0,0,0,-1.0,1,Lewdness Violation
59,1,0,0,0,-1.0,1,Possession of Cocaine
45,4,0,0,0,,0,arrest case no charge
20,1,1,0,0,0.0,0,arrest case no charge
43,0,0,0,0,0.0,0,DUI Level 0.15 Or Minor In Veh
38,9,1,1,0,-1.0,1,Possession of Cocaine
32,11,0,0,0,-2.0,1,Poss Pyrrolidinovalerophenone
33,8,0,0,0,-1.0,1,Assault
31,0,0,0,0,-1.0,1,Possession of Oxycodone
33,7,0,0,0,-1.0,1,Possession of Cocaine
27,2,0,0,0,-1.0,1,Tampering With Physical Evidence
20,0,0,0,0,0.0,0,Grand Theft in the 3rd Degree
26,0,0,0,0,-2.0,0,Fail To Obey Police Officer
61,1,0,0,0,-1.0,1,Solicit Purchase Cocaine
52,13,0,0,0,-1.0,1,Felony Petit Theft
63,1,0,0,0,-26.0,0,arrest case no charge
32,4,0,0,0,-7.0,1,arrest case no charge
29,1,0,0,0,-1.0,0,Grand Theft in the 3rd Degree
46,1,0,0,0,,0,Grand Theft in the 1st Degree
26,2,0,0,0,-1.0,1,Driving Under The Influence
55,3,0,0,0,-51.0,0,Battery
39,1,1,0,0,-1.0,0,
30,3,0,0,0,0.0,1,Possession Of Carisoprodol
30,1,0,0,0,0.0,0,Burglary Conveyance Assault/Bat
48,2,0,0,0,-1.0,0,Battery
22,1,0,0,0,-1.0,0,arrest case no charge
46,6,0,0,0,22.0,1,Driving While License Revoked
49,6,0,0,0,-56.0,0,Crim Use of Personal ID Info
31,0,0,0,0,0.0,0,"Deliver 3,4 Methylenediox"
25,1,0,0,0,-1.0,1,Battery
23,0,0,0,0,-1.0,0,"Poss3,4 Methylenedioxymethcath"
32,5,0,0,0,-1.0,0,Aggravated Assault W/dead Weap
52,2,0,0,0,-1.0,0,Leave Acc/Attend Veh/More $50
62,8,0,0,0,0.0,0,Possession of Cocaine
37,6,0,0,0,-110.0,0,Possession of Cocaine
55,1,0,0,0,-45.0,0,Grand Theft in the 3rd Degree
31,8,0,0,0,29.0,1,arrest case no charge
28,6,0,0,0,-1.0,1,Resist/Obstruct W/O Violence
54,2,0,0,0,-1.0,0,Burglary Unoccupied Dwelling
58,0,0,0,0,-1.0,0,Possession Of Heroin
78,1,0,0,0,-1.0,1,Driving Under The Influence
56,0,0,0,0,-1.0,0,Possession of Cocaine
24,0,0,0,0,-1.0,0,Burglary Unoccupied Dwelling
38,22,2,2,1,-34.0,1,Child Abuse
22,1,0,0,0,0.0,1,Pos Cannabis W/Intent Sel/Del
47,23,0,0,0,-1.0,1,Possess Cannabis/20 Grams Or Less
23,0,0,0,0,-1.0,1,Battery
57,1,0,0,0,0.0,0,Driving While License Revoked
38,2,0,0,0,-35.0,1,Possession of Cocaine
66,3,0,0,0,-10.0,1,Agg Battery Grt/Bod/Harm
45,8,0,0,0,0.0,1,Viol Injunct Domestic Violence
52,0,0,0,0,,1,
32,13,0,0,0,289.0,1,Poss Cocaine/Intent To Del/Sel
37,2,0,0,0,0.0,1,Battery
39,0,0,0,0,0.0,1,Possession Of Methamphetamine
26,9,0,0,0,0.0,1,Deliver Cocaine
45,2,0,0,0,-1.0,0,Lewd or Lascivious Molestation
23,0,0,0,0,-1.0,1,Possession of Cannabis
34,2,0,0,0,0.0,1,Battery
23,1,0,0,0,-1.0,0,Battery
36,2,0,0,0,-1.0,1,Battery
50,1,0,0,0,-4.0,0,Sexual Performance by a Child
37,0,0,0,0,-1.0,0,Leaving Acc/Unattended Veh
44,4,0,0,0,0.0,0,Battery
35,23,0,1,0,-1.0,1,Felony Petit Theft
24,5,0,0,0,-1.0,1,arrest case no charge
26,2,0,0,0,-1.0,1,Fleeing Or Attmp Eluding A Leo
27,0,0,0,0,-1.0,0,Criminal Mischief
28,0,0,0,0,0.0,0,Aggrav Battery w/Deadly Weapon
43,11,0,0,0,49.0,1,arrest case no charge
28,7,0,0,0,-1.0,1,Felony Petit Theft
38,2,0,0,0,-1.0,0,Driving While License Revoked
27,2,0,0,0,-36.0,0,Trespass Struct/Conveyance
28,1,0,0,0,-1.0,0,arrest case no charge
56,7,0,0,0,-1.0,1,Felony Driving While Lic Suspd
38,15,0,0,0,-1.0,0,Possession of Cocaine
28,2,0,0,0,-1.0,0,Possess Cannabis/20 Grams Or Less
45,3,0,0,0,104.0,0,arrest case no charge
28,0,0,0,0,,0,DUI Property Damage/Injury
61,1,0,0,0,-34.0,0,arrest case no charge
51,0,0,0,0,-1.0,1,Driving Under The Influence
51,0,0,0,0,-1.0,0,Battery
36,1,0,0,0,-1.0,1,Possess Cannabis/20 Grams Or Less
48,0,0,0,0,-1.0,0,Aggravated Battery (Firearm/Actual Possession)
37,4,0,0,0,0.0,1,arrest case no charge
30,2,0,0,0,-1.0,0,Grand Theft in the 3rd Degree
41,5,0,0,0,0.0,0,Battery
27,11,0,0,0,-1.0,1,Robbery / No Weapon
37,0,0,0,0,-1.0,1,Battery
33,4,0,0,0,0.0,1,Aggravated Assault w/Firearm
54,11,0,0,0,-1.0,0,Grand Theft (Motor Vehicle)
23,2,0,0,0,-1.0,0,Robbery / Weapon
26,2,0,0,0,-227.0,1,arrest case no charge
41,0,0,0,0,0.0,0,Battery
52,0,0,0,0,-1.0,0,Burglary With Assault/battery
43,13,0,0,0,0.0,1,Driving While License Revoked
52,0,0,0,0,-1.0,0,Uttering a Forged Instrument
28,1,0,0,0,-3.0,0,arrest case no charge
30,11,0,0,2,-1.0,1,Battery
28,1,0,0,0,0.0,0,Criminal Mischief
22,0,0,0,0,-1.0,0,Pos Cannabis W/Intent Sel/Del
30,4,0,0,0,0.0,0,Driving While License Revoked
25,4,0,0,0,0.0,0,Possession of Cannabis
31,0,0,0,0,-1.0,1,Burglary Unoccupied Dwelling
37,0,0,0,0,-1.0,1,Grand Theft in the 3rd Degree
32,14,0,1,0,-1.0,0,Aggravated Battery / Pregnant
26,4,0,1,0,649.0,0,Possess Cannabis/20 Grams Or Less
53,1,0,0,0,-1.0,0,Battery
28,25,0,0,0,29.0,1,arrest case no charge
44,8,0,0,0,-1.0,1,Battery
25,0,0,0,0,0.0,0,Grand Theft in the 3rd Degree
22,1,0,0,1,0.0,1,Voyeurism
37,0,0,0,0,-1.0,0,Battery
40,3,0,0,0,-1.0,0,Driving While License Revoked
36,8,0,0,0,150.0,1,Felony Driving While Lic Suspd
30,4,0,0,0,-140.0,0,False Imprisonment
22,3,0,0,0,161.0,1,Prowling/Loitering
24,1,0,0,0,-32.0,1,Battery
27,3,0,0,0,-44.0,1,Viol Prot Injunc Repeat Viol
31,0,0,0,0,-1.0,0,Battery
23,1,0,0,1,-1.0,1,arrest case no charge
23,5,0,0,4,-1.0,1,arrest case no charge
24,0,0,0,0,-3.0,0,Possess Cannabis/20 Grams Or Less
29,1,0,0,0,-1.0,0,Battery
20,1,0,0,0,-1.0,1,Carrying Concealed Firearm
30,2,0,0,0,-1.0,1,Carrying Concealed Firearm
39,0,0,0,0,-1.0,0,Throw In Occupied Dwell
27,4,0,0,0,-1.0,0,arrest case no charge
31,2,0,0,0,812.0,1,arrest case no charge
37,2,0,0,0,0.0,0,arrest case no charge
20,0,0,0,0,-1.0,0,Possession Burglary Tools
22,0,0,0,1,0.0,0,"Poss3,4 Methylenedioxymethcath"
52,0,0,0,0,-1.0,0,Burglary Conveyance Unoccup
23,0,0,0,0,-1.0,1,Carrying Concealed Firearm
48,0,0,0,0,-1.0,0,Aggravated Assault W/Dead Weap
66,8,0,0,0,,1,Deliver Cocaine
25,0,0,0,0,0.0,0,"Deliver 3,4 Methylenediox"
27,0,0,0,0,-1.0,1,Grand Theft in the 3rd Degree
30,11,0,0,0,0.0,1,Unauth Poss ID Card or DL
22,3,0,1,1,-1.0,1,Battery
22,1,0,0,0,-1.0,0,Pos Cannabis W/Intent Sel/Del
35,2,0,0,0,,0,arrest case no charge
32,2,0,0,0,-232.0,0,arrest case no charge
41,2,0,0,0,-1.0,0,Battery on Law Enforc Officer
25,0,0,0,0,-1.0,0,Aggravated Assault W/Dead Weap
44,24,0,0,0,53.0,0,Opert With Susp DL 2nd Offens
52,3,0,0,0,0.0,1,Possession of Cocaine
43,0,0,0,0,-1.0,0,Felony Battery (Dom Strang)
37,3,0,0,0,-4.0,0,arrest case no charge
28,3,0,0,0,299.0,1,Possess Cannabis/20 Grams Or Less
70,1,0,0,0,-13.0,0,Battery
54,6,0,0,0,-266.0,1,Possession of Cocaine
46,3,0,0,0,-1.0,0,arrest case no charge
21,0,0,0,0,-1.0,1,Petit Theft
26,1,0,0,0,-1.0,1,Battery
38,3,0,0,0,23.0,1,Crim Use of Personal ID Info
34,5,0,0,0,-1.0,0,Battery
19,1,0,0,0,-48.0,1,Grand Theft in the 3rd Degree
34,5,0,0,0,-1.0,0,Driving License Suspended
23,0,0,0,0,0.0,1,Aggravated Assault W/Dead Weap
34,5,0,0,0,-1.0,1,Possession of Oxycodone
30,2,0,0,0,-83.0,0,arrest case no charge
39,6,0,0,0,-1.0,1,Aggravated Battery / Pregnant
24,0,0,0,0,-1.0,0,Failure To Return Hired Vehicle
33,1,0,0,0,-93.0,1,Driving Under The Influence
58,2,0,0,0,-1.0,0,Agg Fleeing/Eluding High Speed
21,0,0,0,0,0.0,0,Battery
21,1,0,0,0,-36.0,1,Attempted Robbery  No Weapon
23,4,0,0,1,-11.0,1,Possess Cannabis/20 Grams Or Less
62,0,0,0,0,0.0,0,False Imprisonment
27,4,1,0,1,300.0,1,Possess Cannabis/20 Grams Or Less
37,5,0,0,0,-1.0,0,Battery on Law Enforc Officer
43,2,0,0,0,-1.0,1,Grand Theft in the 3rd Degree
32,5,0,0,0,0.0,0,Aggrav Battery w/Deadly Weapon
23,0,0,0,0,-1.0,0,Burglary Conveyance Unoccup
27,0,0,0,0,0.0,0,Battery
44,0,0,0,0,-1.0,1,Battery
28,3,0,0,0,-1.0,1,Battery
42,0,0,0,0,-3.0,0,Possession of Cocaine
24,9,0,1,0,-1.0,1,Resist Officer w/Violence
27,0,0,0,0,0.0,0,Aggrav Battery w/Deadly Weapon
20,0,0,0,0,-1.0,1,Grand Theft (Motor Vehicle)
51,0,0,0,0,0.0,0,Battery on Law Enforc Officer
56,0,0,0,0,0.0,0,Battery On Parking Enfor Speci
29,7,0,0,0,-1.0,0,arrest case no charge
20,0,0,0,0,-1.0,1,Grand Theft in the 3rd Degree
53,6,0,0,0,-176.0,0,arrest case no charge
27,8,0,0,0,-1.0,0,arrest case no charge
24,2,0,1,0,-1.0,1,Burglary Structure Unoccup
53,36,0,0,0,-7.0,1,Corrupt Public Servant
28,2,0,0,0,0.0,1,Battery
45,1,0,0,0,,0,Crim Use of Personal ID Info
21,3,0,1,0,-22.0,1,Grand Theft in the 3rd Degree
36,0,0,0,0,-1.0,0,Aggrav Battery w/Deadly Weapon
25,2,0,0,0,-2.0,1,Petit Theft
23,1,0,0,0,0.0,1,Operating W/O Valid License
28,1,0,0,0,-4.0,0,Pos Cannabis W/Intent Sel/Del
21,0,0,0,0,-1.0,1,Robbery Sudd Snatch No Weapon
36,0,0,0,0,-1.0,0,Viol Injunct Domestic Violence
24,0,0,0,0,-1.0,0,Grand Theft in the 3rd Degree
28,3,0,0,0,206.0,1,arrest case no charge
30,1,0,0,0,-1.0,1,arrest case no charge
29,0,0,0,0,-1.0,0,Aggravated Assault W/Dead Weap
30,0,0,0,0,0.0,0,Battery
51,1,0,0,0,-1.0,0,Assault
33,3,0,0,0,-94.0,0,Felony Battery (Dom Strang)
25,2,0,0,0,-86.0,0,arrest case no charge
32,12,0,1,0,-1.0,1,arrest case no charge
23,1,0,0,1,0.0,0,Grand Theft in the 3rd Degree
47,3,0,0,0,0.0,0,Possession Burglary Tools
32,1,0,0,0,-80.0,1,Possession of Cocaine
37,0,0,0,0,-1.0,0,Forging Bank Bills/Promis Note
19,2,0,2,0,-1.0,1,Poss Pyrrolidinovalerophenone
27,0,0,0,0,-1.0,0,Battery
39,0,0,0,0,-1.0,0,Battery
21,0,0,0,2,0.0,0,Possession of Cocaine
69,0,0,0,0,-1.0,0,Aggravated Assault W/dead Weap
21,2,0,0,0,-1.0,0,arrest case no charge
26,6,0,0,1,0.0,1,Battery
22,0,0,0,0,-2.0,0,Possession of Cocaine
23,0,0,0,0,-1.0,1,Driving While License Revoked
49,3,0,0,0,0.0,0,Grand Theft (Motor Vehicle)
29,2,0,0,1,-1.0,1,Battery
60,0,0,0,0,-1.0,0,Battery
26,0,0,0,0,,0,
23,3,2,0,0,0.0,1,"Poss3,4 Methylenedioxymethcath"
34,2,0,0,0,47.0,1,arrest case no charge
20,1,1,0,0,-21.0,0,arrest case no charge
36,1,0,0,0,0.0,0,Felony/Driving Under Influence
30,0,0,0,0,0.0,0,Possession of Cocaine
21,1,0,1,0,-1.0,1,Grand Theft in the 3rd Degree
22,2,0,0,0,-1.0,1,Possess Cannabis/20 Grams Or Less
57,18,0,0,0,,0,arrest case no charge
21,4,0,0,0,-1.0,1,arrest case no charge
21,0,0,0,0,-1.0,1,Burglary Structure Unoccup
34,1,0,0,0,0.0,0,Battery
50,1,0,0,0,-1.0,1,Battery
40,0,0,0,0,-1.0,1,arrest case no charge
25,7,0,0,0,-1.0,1,Tamper With Witness/Victim/CI
53,1,0,0,0,-1.0,0,Battery
24,0,0,0,0,-1.0,0,Aggravated Assault W/Dead Weap
42,1,0,0,0,-12.0,0,arrest case no charge
28,1,0,0,0,-1.0,0,Battery
24,1,0,0,0,-36.0,0,Disorderly Intoxication
26,6,1,1,0,-1.0,1,Robbery / No Weapon
22,4,0,0,0,-1.0,1,Grand Theft in the 3rd Degree
21,3,0,0,0,-8.0,0,arrest case no charge
37,23,0,0,0,-1.0,1,Battery on Law Enforc Officer
35,2,0,0,0,-1.0,0,Possession of Cannabis
53,2,0,0,0,-1.0,0,Felony Driving While Lic Suspd
60,1,0,0,0,,0,arrest case no charge
29,7,0,0,0,-1.0,1,Possession of Cocaine
48,23,1,0,0,-1.0,1,Felony Petit Theft
52,0,0,0,0,0.0,0,Battery
27,12,0,0,0,-1.0,1,Driving While License Revoked
28,5,0,0,0,0.0,1,arrest case no charge
33,3,0,0,0,0.0,0,Battery
28,0,0,0,0,-1.0,0,arrest case no charge
47,5,0,0,0,-312.0,1,Possession of Cocaine
36,14,0,0,0,-1.0,1,Throw Deadly Missile Into Veh
29,2,1,0,0,-1.0,0,Aggravated Battery / Pregnant
22,0,0,0,1,0.0,1,Unlaw Use False Name/Identity
26,6,0,0,2,-34.0,0,Poss Cocaine/Intent To Del/Sel
25,0,0,0,0,0.0,0,Resist Officer w/Violence
68,2,0,0,0,-150.0,0,Aggravated Assault W/dead Weap
56,5,0,0,0,-1.0,0,Driving While License Revoked
27,9,0,0,0,-1.0,1,Aggravated Battery / Pregnant
52,4,0,0,0,-1.0,1,Grand Theft in the 3rd Degree
32,3,0,0,0,0.0,0,Battery on Law Enforc Officer
60,4,0,0,0,-1.0,0,arrest case no charge
23,1,0,0,0,-5.0,0,Exposes Culpable Negligence
39,0,0,0,0,-2.0,0,Disorderly Intoxication
56,0,0,0,0,-1.0,0,Battery
22,0,0,0,0,0.0,0,"Poss3,4 Methylenedioxymethcath"
27,1,0,0,0,-31.0,1,Use Scanning Device to Defraud
53,11,0,0,0,-1.0,0,arrest case no charge
25,0,0,0,0,0.0,1,Driving Under The Influence
21,0,0,0,0,0.0,0,Battery
22,0,0,0,0,-1.0,0,Leaving the Scene of Accident
58,2,0,0,0,-23.0,0,DUI Property Damage/Injury
31,7,0,0,0,0.0,1,Aggravated Battery / Pregnant
22,1,0,0,0,-1.0,1,False Ownership Info/Pawn Item
28,8,0,0,0,-1.0,1,Uttering a Forged Instrument
42,1,0,0,0,-1.0,0,arrest case no charge
20,0,0,0,0,0.0,1,Grand Theft (Motor Vehicle)
29,0,0,0,0,0.0,1,Battery
29,8,0,0,0,178.0,0,arrest case no charge
58,21,0,0,0,-1.0,1,arrest case no charge
22,3,0,0,0,-1.0,0,Grand Theft in the 3rd Degree
48,1,0,0,0,0.0,1,Operating W/O Valid License
37,0,0,0,0,0.0,0,Crimin Mischief Damage $1000+
57,1,0,0,0,-1.0,1,Felony Petit Theft
27,3,0,0,0,-22.0,0,Fleeing or Eluding a LEO
26,3,0,0,0,0.0,0,Burglary Unoccupied Dwelling
24,3,0,1,1,0.0,1,"Poss3,4 Methylenedioxymethcath"
33,0,0,0,0,-1.0,0,Aggravated Battery / Pregnant
29,2,0,0,0,-1.0,0,arrest case no charge
24,3,0,0,0,-1.0,1,Grand Theft in the 3rd Degree
19,1,0,0,1,-1.0,1,Felony Battery (Dom Strang)
36,2,0,0,0,-1.0,0,Battery
24,0,0,0,0,0.0,0,"Poss3,4 Methylenedioxymethcath"
34,0,0,0,0,0.0,0,DUI Level 0.15 Or Minor In Veh
25,2,0,0,0,-1.0,1,arrest case no charge
20,1,1,0,1,-1.0,1,arrest case no charge
28,2,0,0,0,-263.0,1,arrest case no charge
24,1,0,0,0,-1.0,1,Battery
61,4,0,0,0,-1.0,0,arrest case no charge
50,3,0,0,0,0.0,0,Aggravated Assault W/Dead Weap
30,1,0,0,0,0.0,0,Battery
38,5,0,0,0,-1.0,0,Possession of Cannabis
24,0,0,0,0,-1.0,0,Battery
45,16,0,0,0,-83.0,0,arrest case no charge
46,2,0,0,0,-1.0,1,Grand Theft in the 3rd Degree
41,0,0,0,0,-1.0,1,Battery
20,0,0,0,1,-1.0,1,Possession of Cocaine
27,13,0,0,0,-1.0,1,Possess Cannabis/20 Grams Or Less
51,16,0,0,0,-122.0,0,Possession of Cocaine
26,1,0,0,0,-1.0,1,Battery
29,3,0,0,0,0.0,1,Possession of Ethylone
52,6,0,0,0,-1.0,1,Grand Theft in the 3rd Degree
28,1,0,0,0,0.0,1,Agg Battery Grt/Bod/Harm
34,4,0,0,0,-152.0,1,arrest case no charge
55,5,0,0,0,-1.0,1,Felony Petit Theft
26,10,1,1,0,-1.0,1,Aggravated Battery
28,5,0,0,0,-1.0,0,Possession Of Alprazolam
63,2,0,0,0,-3.0,0,Felony DUI (level 3)
42,0,0,0,0,0.0,0,Aggravated Assault w/Firearm
23,6,1,2,2,-1.0,1,Driving While License Revoked
54,28,0,0,0,-1.0,1,Possession of Cocaine
35,8,0,0,1,-1.0,1,Felony Battery w/Prior Convict
24,6,1,0,0,-1.0,1,arrest case no charge
54,2,0,0,0,-26.0,0,Battery
58,12,0,0,0,-1.0,1,DUI Level 0.15 Or Minor In Veh
23,1,0,0,1,0.0,1,Resist/Obstruct W/O Violence
35,1,0,0,0,-1.0,0,Battery
20,1,0,0,0,0.0,1,Fraudulent Use of Credit Card
51,0,0,0,0,0.0,0,Felony Battery (Dom Strang)
24,0,0,0,0,0.0,0,"Poss 3,4 MDMA (Ecstasy)"
37,3,0,0,0,-14.0,0,Possession of Cocaine
47,3,0,0,0,-1.0,0,Drivg While Lic Suspd/Revk/Can
34,4,0,0,0,-1.0,1,Possession of Cannabis
56,0,0,0,0,-2.0,0,Grand Theft in the 3rd Degree
34,4,0,0,0,-1.0,1,Burglary Dwelling Occupied
59,1,0,0,0,-2.0,1,Burglary Dwelling Assault/Batt
35,0,0,0,0,-1.0,0,Burglary Structure Unoccup
58,1,0,0,0,-11.0,0,Possession Burglary Tools
29,2,0,0,0,-26.0,0,Driving Under The Influence
24,6,0,0,1,0.0,1,Poss Contr Subst W/o Prescript
21,2,0,0,4,-1.0,1,Assault
26,2,0,0,0,,0,arrest case no charge
50,5,0,0,0,0.0,1,Driving While License Revoked
26,1,0,0,0,-1.0,0,Cash Item w/Intent to Defraud
30,0,0,0,0,-1.0,0,Driving Under The Influence
29,6,0,0,0,-43.0,1,arrest case no charge
29,0,0,0,0,0.0,1,Battery
